id,Latitude,Longitude,Date Local,AQI,Population,White Alone,Hispanic/Latino,Black or African American Alone,Asian/Pacific Islander,Some Other Race Alone
353,33.553056,-86.815,12/31/2022,34,5.057529397,360.819272,81.81336927,4358.974359,117241.3793,326.4522324
352,33.553056,-86.815,12/30/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
351,33.553056,-86.815,12/29/2022,41,6.098785449,435.1055927,98.65729823,5256.410256,141379.3103,393.6629861
350,33.553056,-86.815,12/28/2022,40,5.950034585,424.4932612,96.25102267,5128.205128,137931.0345,384.0614498
349,33.553056,-86.815,12/27/2022,34,5.057529397,360.819272,81.81336927,4358.974359,117241.3793,326.4522324
348,33.553056,-86.815,12/26/2022,29,4.313775074,307.7576143,69.78199143,3717.948718,100000,278.4445511
347,33.553056,-86.815,12/25/2022,34,5.057529397,360.819272,81.81336927,4358.974359,117241.3793,326.4522324
346,33.553056,-86.815,12/24/2022,31,4.611276803,328.9822774,74.59454257,3974.358974,106896.5517,297.6476236
345,33.553056,-86.815,12/23/2022,31,4.611276803,328.9822774,74.59454257,3974.358974,106896.5517,297.6476236
344,33.553056,-86.815,12/22/2022,22,3.272519022,233.4712936,52.93806247,2820.512821,75862.06897,211.2337974
343,33.553056,-86.815,12/21/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
342,33.553056,-86.815,12/20/2022,19,2.826266428,201.6342991,45.71923577,2435.897436,65517.24138,182.4291887
341,33.553056,-86.815,12/19/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
340,33.553056,-86.815,12/18/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
339,33.553056,-86.815,12/17/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
338,33.553056,-86.815,12/16/2022,32,4.760027668,339.5946089,77.00081813,4102.564103,110344.8276,307.2491599
337,33.553056,-86.815,12/15/2022,26,3.86752248,275.9206198,62.56316473,3333.333333,89655.17241,249.6399424
336,33.553056,-86.815,12/14/2022,28,4.165024209,297.1452828,67.37571587,3589.74359,96551.72414,268.8430149
335,33.553056,-86.815,12/13/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
334,33.553056,-86.815,12/12/2022,13,1.93376124,137.9603099,31.28158237,1666.666667,44827.58621,124.8199712
333,33.553056,-86.815,12/11/2022,6,0.8925051877,63.67398918,14.4376534,769.2307692,20689.65517,57.60921747
332,33.553056,-86.815,12/10/2022,27,4.016273345,286.5329513,64.9694403,3461.538462,93103.44828,259.2414786
331,33.553056,-86.815,12/9/2022,22,3.272519022,233.4712936,52.93806247,2820.512821,75862.06897,211.2337974
330,33.553056,-86.815,12/8/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
329,33.553056,-86.815,12/7/2022,19,2.826266428,201.6342991,45.71923577,2435.897436,65517.24138,182.4291887
328,33.553056,-86.815,12/6/2022,23,3.421269886,244.0836252,55.34433803,2948.717949,79310.34483,220.8353337
327,33.553056,-86.815,12/5/2022,15,2.231262969,159.1849729,36.0941335,1923.076923,51724.13793,144.0230437
326,33.553056,-86.815,12/4/2022,21,3.123768157,222.8589621,50.5317869,2692.307692,72413.7931,201.6322612
325,33.553056,-86.815,12/3/2022,22,3.272519022,233.4712936,52.93806247,2820.512821,75862.06897,211.2337974
324,33.553056,-86.815,12/2/2022,32,4.760027668,339.5946089,77.00081813,4102.564103,110344.8276,307.2491599
323,33.553056,-86.815,12/1/2022,27,4.016273345,286.5329513,64.9694403,3461.538462,93103.44828,259.2414786
322,33.553056,-86.815,11/30/2022,30,4.462525938,318.3699459,72.188267,3846.153846,103448.2759,288.0460874
321,33.553056,-86.815,11/29/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
320,33.553056,-86.815,11/28/2022,32,4.760027668,339.5946089,77.00081813,4102.564103,110344.8276,307.2491599
319,33.553056,-86.815,11/27/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
318,33.553056,-86.815,11/26/2022,22,3.272519022,233.4712936,52.93806247,2820.512821,75862.06897,211.2337974
317,33.553056,-86.815,11/25/2022,29,4.313775074,307.7576143,69.78199143,3717.948718,100000,278.4445511
316,33.553056,-86.815,11/24/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
315,33.553056,-86.815,11/23/2022,37,5.503781991,392.6562666,89.03219597,4743.589744,127586.2069,355.2568411
314,33.553056,-86.815,11/22/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
313,33.553056,-86.815,11/21/2022,29,4.313775074,307.7576143,69.78199143,3717.948718,100000,278.4445511
312,33.553056,-86.815,11/20/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
311,33.553056,-86.815,11/19/2022,31,4.611276803,328.9822774,74.59454257,3974.358974,106896.5517,297.6476236
310,33.553056,-86.815,11/18/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
309,33.553056,-86.815,11/17/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
308,33.553056,-86.815,11/16/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
